XWALK_CRSE_NUMBER_PK|SRS_SUBJ_CODE|SRS_COURSE_NUMBER|SRS_COURSE_ID|NGSS_SUBJECT|NGSS_COURSE_NUMBER|NGSS_COURSE_ID|SRS_TOPICS_IND|CONV_TOPICS_IND|CONV_TITLE|CONV_LONG_TITLE|DATA_ORIGIN|CREATED_ON_DATE
ACCT242ACCT2420|ACCT|242|ACCT242|ACCT|2420|ACCT2420|||||MFREP|1/23/2022 8:00:56 PM
ACCT243ACCT2430|ACCT|243|ACCT243|ACCT|2430|ACCT2430|||||MFREP|1/23/2022 8:00:56 PM
ACCT270ACCT2700|ACCT|270|ACCT270|ACCT|2700|ACCT2700|||||MFREP|1/23/2022 8:00:56 PM
ACCT297ACCT2970|ACCT|297|ACCT297|ACCT|2970|ACCT2970|||||RENUMBER|1/23/2022 8:00:56 PM
ACCT297FNCE2970|ACCT|297|ACCT297|FNCE|2970|FNCE2970|||||RENUMBER|1/23/2022 8:00:56 PM
ACCT399ACCT3990|ACCT|399|ACCT399|ACCT|3990|ACCT3990|||||MFREP|1/23/2022 8:00:56 PM
ACCT603ACCT6030|ACCT|603|ACCT603|ACCT|6030|ACCT6030|||||MFREP|1/23/2022 8:00:56 PM
ACCT608ACCT6080|ACCT|608|ACCT608|ACCT|6080|ACCT6080|||||MFREP|1/23/2022 8:00:56 PM
ACCT611ACCT6110|ACCT|611|ACCT611|ACCT|6110|ACCT6110|||||MFREP|1/23/2022 8:00:56 PM
ACCT613ACCT6130|ACCT|613|ACCT613|ACCT|6130|ACCT6130|||||MFREP|1/23/2022 8:00:56 PM
ACCT706ACCT7060|ACCT|706|ACCT706|ACCT|7060|ACCT7060|||||MFREP|1/23/2022 8:00:56 PM
ACCT742ACCT7420|ACCT|742|ACCT742|ACCT|7420|ACCT7420|||||MFREP|1/23/2022 8:00:56 PM
ACCT743ACCT7430|ACCT|743|ACCT743|ACCT|7430|ACCT7430|||||MFREP|1/23/2022 8:00:56 PM
ACCT747ACCT7470|ACCT|747|ACCT747|ACCT|7470|ACCT7470|||||MFREP|1/23/2022 8:00:56 PM
ACCT897FNCE7970|ACCT|897|ACCT897|FNCE|7970|FNCE7970|||||RENUMBER|1/23/2022 8:00:56 PM
ACCT897ACCT8970|ACCT|897|ACCT897|ACCT|8970|ACCT8970|||||RENUMBER|1/23/2022 8:00:56 PM
ACCT899ACCT8990|ACCT|899|ACCT899|ACCT|8990|ACCT8990|||||MFREP|1/23/2022 8:00:56 PM
ACCT930ACCT9300|ACCT|930|ACCT930|ACCT|9300|ACCT9300|||||MFREP|1/23/2022 8:00:56 PM
ACCT940ACCT9400|ACCT|940|ACCT940|ACCT|9400|ACCT9400|||||MFREP|1/23/2022 8:00:56 PM
ACCT941ACCT9410|ACCT|941|ACCT941|ACCT|9410|ACCT9410|||||MFREP|1/23/2022 8:00:56 PM
ACCT942ACCT9420|ACCT|942|ACCT942|ACCT|9420|ACCT9420|||||MFREP|1/23/2022 8:00:56 PM
ACCT943ACCT9430|ACCT|943|ACCT943|ACCT|9430|ACCT9430|||||MFREP|1/23/2022 8:00:56 PM
ACCT981ACCT9810|ACCT|981|ACCT981|ACCT|9810|ACCT9810|||||MFREP|1/23/2022 8:00:56 PM
ACCT982ACCT9820|ACCT|982|ACCT982|ACCT|9820|ACCT9820|||||MFREP|1/23/2022 8:00:56 PM
ACCT990ACCT9900|ACCT|990|ACCT990|ACCT|9900|ACCT9900|||||MFREP|1/23/2022 8:00:56 PM
ACCT995ACCT9950|ACCT|995|ACCT995|ACCT|9950|ACCT9950|||||MFREP|1/23/2022 8:00:56 PM
ACCT999ACCT9990|ACCT|999|ACCT999|ACCT|9990|ACCT9990|||||MFREP|1/23/2022 8:00:56 PM
ACFD600ACFD6000|ACFD|600|ACFD600|ACFD|6000|ACFD6000|||||MFREP|1/23/2022 8:00:56 PM
ACFD601ACFD6010|ACFD|601|ACFD601|ACFD|6010|ACFD6010|||||MFREP|1/23/2022 8:00:56 PM
ACFD602ACFD6020|ACFD|602|ACFD602|ACFD|6020|ACFD6020|||||MFREP|1/23/2022 8:00:56 PM
ACFD603ACFD6030|ACFD|603|ACFD603|ACFD|6030|ACFD6030|||||MFREP|1/23/2022 8:00:56 PM
AFRC001AFRC0001|AFRC|001|AFRC001|AFRC|0001|AFRC0001|||Intro Africana Studies|Introduction to Africana Studies|RENUMBER|1/23/2022 8:00:56 PM
AFRC008AFRC1008|AFRC|008|AFRC008|AFRC|1008|AFRC1008|Y||Soci of Blk Community|Sociology of the Black Community|RENUMBER|1/23/2022 8:00:56 PM
AFRC008SOCI2900|AFRC|008|AFRC008|SOCI|2900|SOCI2900|Y||Soci of Blk Community|Sociology of the Black Community|RENUMBER|1/23/2022 8:00:56 PM
AFRC015AFRC1015|AFRC|015|AFRC015|AFRC|1015|AFRC1015|||Race and Identity|Race and Identity: Coming of Age in 20th Century America|RENUMBER|1/23/2022 8:00:56 PM
AFRC019AFRC1019|AFRC|019|AFRC019|AFRC|1019|AFRC1019|Y||Visions of America|Visions of America: Plural Nations, Places and Ideals|RENUMBER|1/23/2022 8:00:56 PM
AFRC098AFRC0098|AFRC|098|AFRC098|AFRC|0098|AFRC0098|||Africana Studies Institute|Africana Studies Summer Institute|RENUMBER|1/23/2022 8:00:56 PM
AFRC122AFRC1220|AFRC|122|AFRC122|AFRC|1220|AFRC1220|||POP CULTR & YOUTH IN AFR|Popular Culture and Youth in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC122ANTH1202|AFRC|122|AFRC122|ANTH|1202|ANTH1202|||POP CULTR & YOUTH IN AFR|Popular Culture and Youth in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC176AFRC1176|AFRC|176|AFRC176|AFRC|1176|AFRC1176|||Afro Amer Hist|Afro-American History 1550-1876|RENUMBER|1/23/2022 8:00:56 PM
AFRC176HIST1127|AFRC|176|AFRC176|HIST|1127|HIST1127|||Afro Amer Hist|Afro-American History 1550-1876|RENUMBER|1/23/2022 8:00:56 PM
AFRC177AFRC1177|AFRC|177|AFRC177|AFRC|1177|AFRC1177|||Afro Amer Hist 1876-Pres|Afro-American History 1876 to Present|RENUMBER|1/23/2022 8:00:56 PM
AFRC177HIST1177|AFRC|177|AFRC177|HIST|1177|HIST1177|||Afro Amer Hist 1876-Pres|Afro-American History 1876 to Present|RENUMBER|1/23/2022 8:00:56 PM
AFRC187AFRC0187|AFRC|187|AFRC187|AFRC|0187|AFRC0187|Y||Hst Women/Men Afr Descnt|The History of Women and Men of African Descent at the University of Penn|RENUMBER|1/23/2022 8:00:56 PM
AFRC190ANTH0102|AFRC|190|AFRC190|ANTH|0102|ANTH0102|||Introduction to Africa|Introduction to Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC190AFRC0002|AFRC|190|AFRC190|AFRC|0002|AFRC0002|||Introduction to Africa|Introduction to Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC201GSWS1202|AFRC|201|AFRC201|GSWS|1202|GSWS1202|||Religions of African Diaspora|Divinities, Diviners and Divinations: Religions of the African Diaspora|RENUMBER|1/23/2022 8:00:56 PM
AFRC201HIST0867|AFRC|201|AFRC201|HIST|0867|HIST0867|||Religions of African Diaspora|Divinities, Diviners and Divinations: Religions of the African Diaspora|RENUMBER|1/23/2022 8:00:56 PM
AFRC201AFRC1201|AFRC|201|AFRC201|AFRC|1201|AFRC1201|||Religions of African Diaspora|Divinities, Diviners and Divinations: Religions of the African Diaspora|RENUMBER|1/23/2022 8:00:56 PM
AFRC202AFRC1202|AFRC|202|AFRC202|AFRC|1202|AFRC1202|||Spirit Possession Caribbean|Spirit possession in Caribbean Religions|RENUMBER|1/23/2022 8:00:56 PM
AFRC222AFRC2220|AFRC|222|AFRC222|AFRC|2220|AFRC2220|||African Women Lives Past/Pres|African Women's Lives: Past and Present|RENUMBER|1/23/2022 8:00:56 PM
AFRC222GSWS2220|AFRC|222|AFRC222|GSWS|2220|GSWS2220|||African Women Lives Past/Pres|African Women's Lives: Past and Present|RENUMBER|1/23/2022 8:00:56 PM
AFRC223CIMS2230|AFRC|223|AFRC223|CIMS|2230|CIMS2230|||Storytelling in Africa|Storytelling in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC223ANTH2230|AFRC|223|AFRC223|ANTH|2230|ANTH2230|||Storytelling in Africa|Storytelling in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC223AFRC2230|AFRC|223|AFRC223|AFRC|2230|AFRC2230|||Storytelling in Africa|Storytelling in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC225AFRC2250|AFRC|225|AFRC225|AFRC|2250|AFRC2250|||African Lang. & Culture|African Languages and Culture|RENUMBER|1/23/2022 8:00:56 PM
AFRC238LALS2238|AFRC|238|AFRC238|LALS|2238|LALS2238|||Modalities of Black Freedom|Modalities of Black Freedom and Escape: Ships|RENUMBER|1/23/2022 8:00:56 PM
AFRC238AFRC2238|AFRC|238|AFRC238|AFRC|2238|AFRC2238|||Modalities of Black Freedom|Modalities of Black Freedom and Escape: Ships|RENUMBER|1/23/2022 8:00:56 PM
AFRC245AFRC2245|AFRC|245|AFRC245|AFRC|2245|AFRC2245|||Dancing the African Diaspora|Dancing the African Diaspora|RENUMBER|1/23/2022 8:00:56 PM
AFRC246MUSC3460|AFRC|246|AFRC246|MUSC|3460|MUSC3460|||Studies in Rock|Studies in Rock: Revisiting Histories of Race, Gender, and Genre|RENUMBER|1/23/2022 8:00:56 PM
AFRC246AFRC3460|AFRC|246|AFRC246|AFRC|3460|AFRC3460|||Studies in Rock|Studies in Rock: Revisiting Histories of Race, Gender, and Genre|RENUMBER|1/23/2022 8:00:56 PM
AFRC276AFRC2760|AFRC|276|AFRC276|AFRC|2760|AFRC2760|Y||Afr Amer Life/Cultr in Slvry|African American Life and Culture in Slavery|RENUMBER|1/23/2022 8:00:56 PM
AFRC276HIST0710|AFRC|276|AFRC276|HIST|0710|HIST0710|Y||Afr Amer Life/Cultr in Slvry|African American Life and Culture in Slavery|RENUMBER|1/23/2022 8:00:56 PM
AFRC287RELS2870|AFRC|287|AFRC287|RELS|2870|RELS2870|||Rels & Society in Africa|Religion and Society in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC287AFRC2870|AFRC|287|AFRC287|AFRC|2870|AFRC2870|||Rels & Society in Africa|Religion and Society in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC287HIST0837|AFRC|287|AFRC287|HIST|0837|HIST0837|||Rels & Society in Africa|Religion and Society in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC297AFRC0982|AFRC|297|AFRC297|AFRC|0982|AFRC0982|||Study Abroad|Study Abroad|RENUMBER|1/23/2022 8:00:56 PM
AFRC298AFRC0983|AFRC|298|AFRC298|AFRC|0983|AFRC0983|||Study Abroad|Study Abroad|RENUMBER|1/23/2022 8:00:56 PM
AFRC302AFRC2302|AFRC|302|AFRC302|AFRC|2302|AFRC2302|||Sustainable Entrepreneurship|Sustainable Entrepreneurship|RENUMBER|1/23/2022 8:00:56 PM
AFRC305URBS3050|AFRC|305|AFRC305|URBS|3050|URBS3050|||Housng,Race Us|Housing, Race, and Community in the United States|RENUMBER|1/23/2022 8:00:56 PM
AFRC305AFRC3051|AFRC|305|AFRC305|AFRC|3051|AFRC3051|||Housng,Race Us|Housing, Race, and Community in the United States|RENUMBER|1/23/2022 8:00:56 PM
AFRC311HIST0838|AFRC|311|AFRC311|HIST|0838|HIST0838|||Med Health & Healing in Africa|Medicine, Health and Healing in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC311AFRC3110|AFRC|311|AFRC311|AFRC|3110|AFRC3110|||Med Health & Healing in Africa|Medicine, Health and Healing in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC321AFRC2321|AFRC|321|AFRC321|AFRC|2321|AFRC2321|||War and Peace in Africa|War and Peace in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC322AFRC3500|AFRC|322|AFRC322|AFRC|3500|AFRC3500|||American Slavery and the Law|American Slavery and the Law|RENUMBER|1/23/2022 8:00:56 PM
AFRC322HIST0814|AFRC|322|AFRC322|HIST|0814|HIST0814|||American Slavery and the Law|American Slavery and the Law|RENUMBER|1/23/2022 8:00:56 PM
AFRC324ARTH2099|AFRC|324|AFRC324|ARTH|2099|ARTH2099|||Dress & Fashion in Africa|Dress and Fashion in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC324AFRC0324|AFRC|324|AFRC324|AFRC|0324|AFRC0324|||Dress & Fashion in Africa|Dress and Fashion in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC324ANTH2324|AFRC|324|AFRC324|ANTH|2324|ANTH2324|||Dress & Fashion in Africa|Dress and Fashion in Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC325ENGL0529|AFRC|325|AFRC325|ENGL|0529|ENGL0529|||August Wilson & Beyond|August Wilson and Beyond|RENUMBER|1/23/2022 8:00:56 PM
AFRC325AFRC0325|AFRC|325|AFRC325|AFRC|0325|AFRC0325|||August Wilson & Beyond|August Wilson and Beyond|RENUMBER|1/23/2022 8:00:56 PM
AFRC327AFRC4327|AFRC|327|AFRC327|AFRC|4327|AFRC4327|||Fashioning the Black Body|Fashioning the Black Body|RENUMBER|1/23/2022 8:00:56 PM
AFRC336AFRC3336|AFRC|336|AFRC336|AFRC|3336|AFRC3336|||Africa & Indian Ocean World|Africa and the Indian Ocean World|RENUMBER|1/23/2022 8:00:56 PM
AFRC343AFRC3343|AFRC|343|AFRC343|AFRC|3343|AFRC3343|||GLB ENGAGEMENT SEM|Global Engagement Seminar|RENUMBER|1/23/2022 8:00:56 PM
AFRC357AFRC4322|AFRC|357|AFRC357|AFRC|4322|AFRC4322|Y||Understanding Africa|Understanding Africa|RENUMBER|1/23/2022 8:00:56 PM
AFRC386AFRC3386|AFRC|386|AFRC386|AFRC|3386|AFRC3386|||Digital Blackness|Digital Blackness|RENUMBER|1/23/2022 8:00:56 PM
AFRC387HIST0817|AFRC|387|AFRC387|HIST|0817|HIST0817|Y||Black Feminist Approaches|Black Feminist Approaches to History and Memory|RENUMBER|1/23/2022 8:00:56 PM
AFRC387AFRC4387|AFRC|387|AFRC387|AFRC|4387|AFRC4387|Y||Black Feminist Approaches|Black Feminist Approaches to History and Memory|RENUMBER|1/23/2022 8:00:56 PM
AFRC387GSWS4387|AFRC|387|AFRC387|GSWS|4387|GSWS4387|Y||Black Feminist Approaches|Black Feminist Approaches to History and Memory|RENUMBER|1/23/2022 8:00:56 PM
AFRC387LALS4387|AFRC|387|AFRC387|LALS|4387|LALS4387|Y||Black Feminist Approaches|Black Feminist Approaches to History and Memory|RENUMBER|1/23/2022 8:00:56 PM
AFRC399AFRC3999|AFRC|399|AFRC399|AFRC|3999|AFRC3999|||Independent Study|Independent Study|RENUMBER|1/23/2022 8:00:56 PM
AFRC400AFRC4000|AFRC|400|AFRC400|AFRC|4000|AFRC4000|||Blacks in Amer Film/TV|Blacks in American Film and Television|RENUMBER|1/23/2022 8:00:56 PM
AFRC404AFRC4404|AFRC|404|AFRC404|AFRC|4404|AFRC4404|||Black Geographies|Black Geographies and the Meaning of Land Rights|RENUMBER|1/23/2022 8:00:56 PM
AFRC406AFRC4406|AFRC|406|AFRC406|AFRC|4406|AFRC4406|||Existence in Black|Existence in Black|RENUMBER|1/23/2022 8:00:56 PM
AFRC406HIST0873|AFRC|406|AFRC406|HIST|0873|HIST0873|||Existence in Black|Existence in Black|RENUMBER|1/23/2022 8:00:56 PM
AFRC406PHIL4515|AFRC|406|AFRC406|PHIL|4515|PHIL4515|||Existence in Black|Existence in Black|RENUMBER|1/23/2022 8:00:56 PM
AFRC417HIST0815|AFRC|417|AFRC417|HIST|0815|HIST0815|||Comparative Racial Politics|Comparative Racial Politics|RENUMBER|1/23/2022 8:00:56 PM
AFRC417AFRC3710|AFRC|417|AFRC417|AFRC|3710|AFRC3710|||Comparative Racial Politics|Comparative Racial Politics|RENUMBER|1/23/2022 8:00:56 PM
AFRC417PSCI2190|AFRC|417|AFRC417|PSCI|2190|PSCI2190|||Comparative Racial Politics|Comparative Racial Politics|RENUMBER|1/23/2022 8:00:56 PM
AFRC417SOCI2901|AFRC|417|AFRC417|SOCI|2901|SOCI2901|||Comparative Racial Politics|Comparative Racial Politics|RENUMBER|1/23/2022 8:00:56 PM
AFRC417LALS3710|AFRC|417|AFRC417|LALS|3710|LALS3710|||Comparative Racial Politics|Comparative Racial Politics|RENUMBER|1/23/2022 8:00:56 PM
AFRC420AFRC4200|AFRC|420|AFRC420|AFRC|4200|AFRC4200|Y||US and Human Rights|The US and Human Rights: Policies and Pratices|RENUMBER|1/23/2022 8:00:56 PM
AFRC420SOCI2902|AFRC|420|AFRC420|SOCI|2902|SOCI2902|Y||US and Human Rights|The US and Human Rights: Policies and Pratices|RENUMBER|1/23/2022 8:00:56 PM
AFRC431AFRC4431|AFRC|431|AFRC431|AFRC|4431|AFRC4431|||NVIGATING GLBAL SOC JUST|Mobilizing Decolonial Arts and Practice in the Black Atlantic and Beyond|RENUMBER|1/23/2022 8:00:56 PM
AFRC436AFRC3510|AFRC|436|AFRC436|AFRC|3510|AFRC3510|||Love, Anger, Madness|Love, Anger, Madness: History and Silences in Modern Haiti|RENUMBER|1/23/2022 8:00:56 PM
AFRC436GSWS3510|AFRC|436|AFRC436|GSWS|3510|GSWS3510|||Love, Anger, Madness|Love, Anger, Madness: History and Silences in Modern Haiti|RENUMBER|1/23/2022 8:00:56 PM
AFRC436LALS3510|AFRC|436|AFRC436|LALS|3510|LALS3510|||Love, Anger, Madness|Love, Anger, Madness: History and Silences in Modern Haiti|RENUMBER|1/23/2022 8:00:56 PM
AFRC436HIST0840|AFRC|436|AFRC436|HIST|0840|HIST0840|||Love, Anger, Madness|Love, Anger, Madness: History and Silences in Modern Haiti|RENUMBER|1/23/2022 8:00:56 PM
AFRC465PSCI4190|AFRC|465|AFRC465|PSCI|4190|PSCI4190|||Race&Racism Contmpry Wld|Race and Racism in the Contemporary World|RENUMBER|1/23/2022 8:00:56 PM
AFRC465AFRC4650|AFRC|465|AFRC465|AFRC|4650|AFRC4650|||Race&Racism Contmpry Wld|Race and Racism in the Contemporary World|RENUMBER|1/23/2022 8:00:56 PM
AFRC465LALS4650|AFRC|465|AFRC465|LALS|4650|LALS4650|||Race&Racism Contmpry Wld|Race and Racism in the Contemporary World|RENUMBER|1/23/2022 8:00:56 PM
AFRC490AFRC4999|AFRC|490|AFRC490|AFRC|4999|AFRC4999|||Independent Study|Independent Study|RENUMBER|1/23/2022 8:00:56 PM
AFRC499AFRC4990|AFRC|499|AFRC499|AFRC|4990|AFRC4990|||Honors|Honors Course|RENUMBER|1/23/2022 8:00:56 PM
AFRC506AFRC5060|AFRC|506|AFRC506|AFRC|5060|AFRC5060|||Existence in Black|Existence in Black|RENUMBER|1/23/2022 8:00:56 PM
AFRC506PHIL6515|AFRC|506|AFRC506|PHIL|6515|PHIL6515|||Existence in Black|Existence in Black|RENUMBER|1/23/2022 8:00:56 PM
AFRC509AFRC5090|AFRC|509|AFRC509|AFRC|5090|AFRC5090|||Reading Arabic Manuscrpt|Reading Historical Arabic Manuscripts|RENUMBER|1/23/2022 8:00:56 PM
AFRC509ARAB5200|AFRC|509|AFRC509|ARAB|5200|ARAB5200|||Reading Arabic Manuscrpt|Reading Historical Arabic Manuscripts|RENUMBER|1/23/2022 8:00:56 PM
AFRC514AFRC5140|AFRC|514|AFRC514|AFRC|5140|AFRC5140|||Africa and the Indian Ocean|Africa and the Indian Ocean|RENUMBER|1/23/2022 8:00:56 PM
AFRC527LALS5270|AFRC|527|AFRC527|LALS|5270|LALS5270|Y||Market Women & Madames|Market Women, Madames, Mistresses and Mother Superior|RENUMBER|1/23/2022 8:00:56 PM
AFRC527AFRC5270|AFRC|527|AFRC527|AFRC|5270|AFRC5270|Y||Market Women & Madames|Market Women, Madames, Mistresses and Mother Superior|RENUMBER|1/23/2022 8:00:56 PM
AFRC527GSWS5270|AFRC|527|AFRC527|GSWS|5270|GSWS5270|Y||Market Women & Madames|Market Women, Madames, Mistresses and Mother Superior|RENUMBER|1/23/2022 8:00:56 PM
AFRC530AFRC5300|AFRC|530|AFRC530|AFRC|5300|AFRC5300|||Black Performance Theory|Black Performance Theory|RENUMBER|1/23/2022 8:00:56 PM
AFRC531AFRC5310|AFRC|531|AFRC531|AFRC|5310|AFRC5310|||NVIGATING GLBAL SOC JUST|Mobilizing Decolonial Arts and Practice in the Black Atlantic and Beyond|RENUMBER|1/23/2022 8:00:56 PM
AFRC537AFRC5370|AFRC|537|AFRC537|AFRC|5370|AFRC5370|||Blks in Corprate America|Blks in Corporate America:The Diversity of Black Elite & their Professional Contributions Since 1865|RENUMBER|1/23/2022 8:00:56 PM
AFRC542ARTH5190|AFRC|542|AFRC542|ARTH|5190|ARTH5190|||Archiving Jazz|Archiving Jazz: Visuality And Materiality In The Phila Jazz Community 1945-2019|RENUMBER|1/23/2022 8:00:56 PM
AFRC542URBS5420|AFRC|542|AFRC542|URBS|5420|URBS5420|||Archiving Jazz|Archiving Jazz: Visuality And Materiality In The Phila Jazz Community 1945-2019|RENUMBER|1/23/2022 8:00:56 PM
AFRC542AFRC5420|AFRC|542|AFRC542|AFRC|5420|AFRC5420|||Archiving Jazz|Archiving Jazz: Visuality And Materiality In The Phila Jazz Community 1945-2019|RENUMBER|1/23/2022 8:00:56 PM
AFRC547AFRC5470|AFRC|547|AFRC547|AFRC|5470|AFRC5470|Y|Y|Topics in Religion|Topics in the Study of Religion|RENUMBER|1/23/2022 8:00:56 PM
AFRC547RELS5470|AFRC|547|AFRC547|RELS|5470|RELS5470|Y|Y|Topics in Religion|Topics in the Study of Religion|RENUMBER|1/23/2022 8:00:56 PM
AFRC550ANTH5500|AFRC|550|AFRC550|ANTH|5500|ANTH5500|||Critical Ethnography|Critical Ethnography|RENUMBER|1/23/2022 8:00:56 PM
AFRC550AFRC5500|AFRC|550|AFRC550|AFRC|5500|AFRC5500|||Critical Ethnography|Critical Ethnography|RENUMBER|1/23/2022 8:00:56 PM
AFRC571AFRC5710|AFRC|571|AFRC571|AFRC|5710|AFRC5710|Y||W.E.B. Dubois|Visualizing W.E.B.DUBOIS|RENUMBER|1/23/2022 8:00:56 PM
AFRC571SOCI5710|AFRC|571|AFRC571|SOCI|5710|SOCI5710|Y||W.E.B. Dubois|Visualizing W.E.B.DUBOIS|RENUMBER|1/23/2022 8:00:56 PM
AFRC620AFRC6200|AFRC|620|AFRC620|AFRC|6200|AFRC6200|||Exhibiting Black Bodies|Exhibiting Black Bodies|RENUMBER|1/23/2022 8:00:56 PM
AFRC620SOCI6600|AFRC|620|AFRC620|SOCI|6600|SOCI6600|||Exhibiting Black Bodies|Exhibiting Black Bodies|RENUMBER|1/23/2022 8:00:56 PM
AFRC624AFRC6240|AFRC|624|AFRC624|AFRC|6240|AFRC6240|||Race, Poverty, & Place|Race, Poverty, & Place|RENUMBER|1/23/2022 8:00:56 PM
AFRC640AFRC6400|AFRC|640|AFRC640|AFRC|6400|AFRC6400|Y||Proseminar Africana Studies|Proseminar in Africana Studies|RENUMBER|1/23/2022 8:00:56 PM
AFRC641AFRC6410|AFRC|641|AFRC641|AFRC|6410|AFRC6410|Y||Slavery in the Atlantic World|Slavery in the Atlantic World|RENUMBER|1/23/2022 8:00:56 PM
AFRC645AFRC6450|AFRC|645|AFRC645|AFRC|6450|AFRC6450|Y||Historical Research & Writing|Historical Research and Writing|RENUMBER|1/23/2022 8:00:56 PM
AFRC655LALS6550|AFRC|655|AFRC655|LALS|6550|LALS6550|||Black Political Thought|Black Political Thought: Difference And Community|RENUMBER|1/23/2022 8:00:56 PM
AFRC655GSWS6550|AFRC|655|AFRC655|GSWS|6550|GSWS6550|||Black Political Thought|Black Political Thought: Difference And Community|RENUMBER|1/23/2022 8:00:56 PM
AFRC655AFRC6550|AFRC|655|AFRC655|AFRC|6550|AFRC6550|||Black Political Thought|Black Political Thought: Difference And Community|RENUMBER|1/23/2022 8:00:56 PM
AFRC670AFRC6700|AFRC|670|AFRC670|AFRC|6700|AFRC6700|||Oral History|Oral History|RENUMBER|1/23/2022 8:00:56 PM
AFRC670LALS6700|AFRC|670|AFRC670|LALS|6700|LALS6700|||Oral History|Oral History|RENUMBER|1/23/2022 8:00:56 PM
AFRC701AFRC7010|AFRC|701|AFRC701|AFRC|7010|AFRC7010|Y||Readings in Afam Religion|Readings in African American Religion|RENUMBER|1/23/2022 8:00:56 PM
AFRC706AFRC7060|AFRC|706|AFRC706|AFRC|7060|AFRC7060|||Afr/Afr Diasp Thought|Introduction to Africa and African Diaspora Thought|RENUMBER|1/23/2022 8:00:56 PM
AFRC708COML7080|AFRC|708|AFRC708|COML|7080|COML7080|Y||Cult/Lit Thry Afr Diasp|Cultural and Literary Theory of Africa and the African Diaspora|RENUMBER|1/23/2022 8:00:56 PM
AFRC708AFRC7080|AFRC|708|AFRC708|AFRC|7080|AFRC7080|Y||Cult/Lit Thry Afr Diasp|Cultural and Literary Theory of Africa and the African Diaspora|RENUMBER|1/23/2022 8:00:56 PM
AFRC708ENGL7080|AFRC|708|AFRC708|ENGL|7080|ENGL7080|Y||Cult/Lit Thry Afr Diasp|Cultural and Literary Theory of Africa and the African Diaspora|RENUMBER|1/23/2022 8:00:56 PM
